anio,C2F6 (t),CF4 (t),CH4 (t),CO (t),CO2 (t),CO2e (t) GTP-AR2,CO2e (t) GTP-AR4,CO2e (t) GTP-AR5,CO2e (t) GTP-AR6,CO2e (t) GWP-AR2,CO2e (t) GWP-AR4,CO2e (t) GWP-AR5,CO2e (t) GWP-AR6,COVNM (t),HFC-125 (t),HFC-134a (t),HFC-143a (t),HFC-152a (t),HFC-23 (t),HFC-32 (t),N2O (t),NOx (t),SF6 (t)
1990,4.4243109023858205,50.97429886662584,3140.539349072952,3113.0901543484038,320768.38201938604,198367.2976698348,198367.2976698348,194710.51040270276,196298.671383307,229318.7982112671,236145.22216383182,237332.98435791954,238965.12236834425,985.6681749916487,0.0,1.0,0.0,0.0,120.24,0.0,68.08605088665446,426.9978244545174,5.0
1991,4.878391179177234,56.53449088358442,3234.1086148886493,3110.1504927083615,319892.99527892604,198549.149416184,198549.149416184,194785.09362396077,196423.78881972402,230399.42351452014,237440.46210383254,238747.9354074755,240344.4257561263,939.6433959823974,0.0,1.8,0.0,0.0,137.52,0.0,69.76774995564622,442.18423399716926,4.9
1992,5.160625121367648,59.10871276009484,3370.4073396610784,2999.9788183376095,359902.5653009504,221619.98557136446,221619.98557136446,217677.5766273456,219412.11783591972,254828.24477946342,262167.7517058614,263354.7059363743,265211.4715458681,875.5652003344609,0.0,8.5,0.0,0.0,163.6,0.0,73.41926186162708,449.1140525973556,5.5
1993,4.826898326169543,55.77557920402236,3308.1588656970703,2888.7166847493413,331043.73130997387,205496.77912430317,205496.77912430317,201610.5610042919,203290.1121521111,238111.06647454633,245311.58526636052,246604.48812342752,248255.37530598952,914.4607681770514,0.0,16.3,0.0,0.0,172.28,0.0,72.71951147017626,459.700362660717,7.05
1994,4.6466613672295685,53.834393910506435,3469.9840888900612,2937.911533541635,378143.07779634825,232586.0730391736,232586.0730391736,228497.5367621605,230276.52315172084,266861.04421812674,274394.8238460505,275535.8793004501,277504.2916149593,943.3155463304239,0.0,137.3,0.0,0.0,156.6,0.0,77.261423058123,477.92942367505066,7.0
1995,4.381887599871512,50.990035969954334,3662.010693161361,2853.7063842844505,439538.0340748054,267589.151576343,267589.151576343,263284.9761915173,265192.39353269595,303809.3207308306,311751.62423086667,312697.19744638464,315081.00760197244,933.9122255190043,0.0,290.7,0.0,0.0,153.04,0.0,81.71122663861723,502.3602052511534,7.1
1996,4.35101696098954,49.62224059974284,3369.71439041131,2794.128267620725,384715.0120798311,235381.09469993916,235381.09469993916,231429.5100599618,233159.42443127063,268851.2588802744,276157.76375655795,277156.6320351479,279199.5685464172,966.3270095507088,0.0,1254.8,0.0,0.0,89.04,0.0,75.22838369673566,529.3969585608318,6.8999999999999995
1997,2.618728650925061,33.82714600101952,3460.277798904545,2700.521699753704,403260.8179433101,246192.05718880906,246192.05718880906,242146.73092769558,243918.26090792994,280607.3142675768,288088.2301822608,289062.6394779388,291212.3307740925,966.3983279707988,0.0,1103.6,0.0,0.0,95.32,0.0,77.90222005049961,545.846654772318,8.45
1998,2.8682388362715954,37.96976613365592,3458.4301571314127,2601.3277897676194,381765.065616296,234556.74832427638,234556.74832427638,230484.6751053886,232222.28535355165,269066.9751522287,276513.97939513833,277595.7991335827,279595.7240957324,995.6792426317837,0.0,1614.8,0.0,0.0,13.04,0.0,79.18621560028534,558.9425914084702,7.4
1999,2.5538737223068515,33.5951007733954,3505.8565653229375,2517.6456981307037,378589.90760348353,233065.47148257855,233065.47148257855,228976.59302443193,230754.71147033977,268066.3601078803,275654.70325495343,276808.82550421153,278787.16293152445,1053.3130754981034,0.0,1899.9,0.0,0.0,97.16,0.0,79.28547017640075,574.6283145572804,7.3500000000000005
2000,1.9523773246725051,24.442363789827642,3571.9145676232533,2397.1371485860277,371264.62565265823,229362.75706001,229362.75706001,225202.142194439,226964.73795843907,265039.9810007981,272722.9852703617,274020.11241875397,275894.7755492617,1057.4457563786984,7.1,1709.2,7.5,0.1,0.0,0.0,81.04414099399307,574.6746628197686,7.65
2001,1.532887273503387,19.112795230334935,3726.8396669014924,2335.662246060046,383126.5236143946,236615.62095493553,236615.62095493553,232343.05424968502,234194.07182588588,273944.19857618574,281987.2560084102,283392.7640102978,285343.0077779991,967.4440676046497,39.2,2625.4,27.1,29.5,0.0,0.0,82.8029460032266,589.9938183131821,7.3
2002,1.954301847482865,22.585387754449386,3848.366806879011,2418.849846553625,405857.3127668898,250601.63264446004,250601.63264446004,246093.28948616685,248013.69802799265,289212.9200181213,297493.7137031403,298791.39042488526,300915.68792267353,969.157687465944,50.8,2633.0,39.8,8.1,0.0,0.0,88.77535550824331,597.3697384175139,8.75
2003,1.9597255790433692,23.344023914789748,4226.186785098658,2550.104407393858,504980.45842364756,308245.71373366035,308245.71373366035,303220.023227828,305374.4580008866,350746.6109409076,359815.0105456759,360779.4219082164,363589.49683232,949.9011914986487,54.8,2966.8,50.0,23.8,0.0,0.0,100.52800573242578,597.9891099031285,10.149999999999999
2004,1.6828016072504768,21.8621802984447,4300.983935783517,2649.403382293924,478755.5605604171,294423.64093320974,294423.64093320974,289299.60597185115,291467.64749505004,337649.9794011019,346884.5304718618,348098.5408743795,350698.48036217084,1015.4534069192663,120.7,2788.7,103.7,54.3,0.0,0.0,102.0839391462526,631.0119162611322,11.5
